# Languages
System.LanguagesName.EN:				영어
Quest.Epic.Viking50.FaceYdeniaDetail:     그래요, 그를 맞서 쓰러뜨려야 합니다! 지도 구석에 적힌 쪽지에는 Ydenia가 죽어서도 강하다고 쓰여 있습니다. 그는 영혼 상태에서도 자신을 지키기 위해 추종자들을 모았고, 공격받으면 그들이 도우러 올 것입니다. 당신의 실력이 많이 늘었더라도 Ydenia를 상대하려면 동료를 데려가는 것을 강력히 권합니다. 제가 주문을 끝내려면 그를 처치하고 그가 지닌 토템을 반드시 가져와야 합니다. 지도에 따르면 Ydenia는 Raumarik에 있습니다. Raumarik의 강으로 가서 북쪽으로 이동하세요. 끝에 도달하면 다음 강까지 북서쪽으로 가십시오. 강을 건너 서쪽으로 향하고, 나무 무리가 보일 때까지 설선을 따라가세요. 그곳에서 Ydenia와 그의 추종자들을 찾을 수 있습니다. 토템을 얻으면 제게 돌아오세요. 모든 신들이 함께하길 바랍니다.
Quest.Epic.Viking50.Description1:         Vanern Swamp에서 Ydenia를 찾아 처치하세요!
Quest.Epic.Viking50.Description2:         Lynnleigh에게 돌아가 Tome of Enchantments를 건네주세요!
Quest.Epic.Viking50.Description3:         봉인된 주머니를 물란의 엘리자베스에게 가져가세요!
Quest.Epic.Viking50.Description4:         보상을 받으려면 Elizabeth와 대화하세요!
Quest.Epic.Viking50.CollectTome:          Ydenia가 Tome of Enchantments를 떨어뜨렸고 당신이 집어 들었습니다!
Quest.Epic.Viking50.TakePouch:            보상을 받으려면 이 봉인된 주머니를 물란의 엘리자베스에게 가져가세요!
Quest.Hibernia.WildWilderness.Name:       거친 야생
Quest.Hibernia.WildWilderness.Description1: Miach에게 lunger에 대해 물어보세요.
Quest.Hibernia.WildWilderness.Description2: lunger를 처치해 꼬리를 구하세요. Domnann 관문 바로 밖에서 찾을 수 있습니다.
Quest.Hibernia.WildWilderness.Description3: 꼬리를 Grove of Domnann의 Resalg에게 가져가 [제조법]에 대해 이야기하세요.
Quest.Hibernia.WildWilderness.MiachTailRequest: 좋습니다! 가는 김에 lunger 꼬리 하나를 Resalg에게 가져다주세요. 그가 후하게 보상할 겁니다. 물약을 만들려는 중이라 제가 [꼬리]를 구해 주겠다고 했습니다.
Quest.Hibernia.WildWilderness.MiachFindLungers: 안녕하세요 {0}님, lunger를 찾아 꼬리를 Resalg에게 가져다주세요!
Quest.Hibernia.WildWilderness.MiachBringTail: 오, 꼬리를 구했군요. Resalg에게 가져다주세요.
Quest.Hibernia.WildWilderness.MiachIntro: 한때 Hy Brasil의 모든 것은 온순했습니다. 이제는 두려워할 이유가 없던 짐승들까지 사나워졌습니다. 그들은 먹기 위해서만이 아니라 즐기듯 죽이고, 원래의 사냥감만 노리지도 않습니다. 이제 그들은 우리를 [사냥]합니다.
Quest.Hibernia.WildWilderness.MiachHunt: 맞습니다. 원래 이런 짐승들이 아닙니다. Fomorian의 사악한 손길 때문이라고 믿습니다! 그들이 많은 생명체의 터전과 사냥터를 망가뜨렸고, 일부는 뒤틀린 괴물이 되었습니다. 제가 말하는 짐승은 우리 마을 가까이에 있는 lunger입니다. 반드시 없애야 합니다!
Quest.Hibernia.WildWilderness.Subscribe:  이 지역의 어린 lunger들을 몰아내는 일을 도와주시겠습니까?
Quest.Hibernia.WildWilderness.FindTail:   lunger를 찾아 꼬리 하나를 Resalg에게 가져다주세요!
Quest.Hibernia.WildWilderness.ResalgGreeting: 모험가님, 무엇을 도와드릴까요?
Quest.Hibernia.WildWilderness.ResalgTailQuestion: Forester님, Miach가 제게 꼬리를 가져다달라고 하던가요?
Quest.Hibernia.WildWilderness.ResalgClassGreeting: 훌륭한 {0}님, 무엇을 도와드릴까요?
Quest.Hibernia.WildWilderness.ResalgFormulaIntro: 아! lunger 꼬리를 가져오셨군요! 이게 효과가 있을지는 확신할 수 없지만, 될 것 같습니다. 저는 특별한 [제조법]을 만들고 있습니다.
Quest.Hibernia.WildWilderness.ResalgFormula: 그렇습니다. 미쳐 날뛰는 동물들을 진정시킬 수 있을 겁니다. 확신은 못 하지만 기대하고 있습니다. Fomorian이 온 뒤로 일부 동물은 변이까지 일어났습니다. 저는 그 사악한 종족 탓이라고 봅니다. Sylvan을 돕고 이 황폐한 땅이 회복되는 모습을 보고 싶습니다. 여기, 이 꼬리에 대한 보상입니다. 좋은 하루 되세요, 친구여!
Quest.Hibernia.WildWilderness.Decline:    아쉽군요... 마음이 바뀌면 다시 찾아와 주세요!
Quest.Hibernia.WildWilderness.MoneyReward: 보상으로 {0}을(를) 받았습니다.
PLCommands.Buff.Help:                     이 명령어에는 버프 목록이 필요합니다.\n아래 약어를 쉼표 하나로 구분해 입력하세요.
Tasks.AbstractTask.NameUndefined:         태스크 이름이 정의되지 않았습니다!
Tasks.AbstractTask.DescriptionUndefined:  태스크 설명이 정의되지 않았습니다!
Quest.Atlas.PowerOfNature.Name:           [추모] 자연의 힘
Quest.Atlas.PowerOfNature.TheresaStep1:   {0}님, 뭐라고 말해야 할지 모르겠습니다. 도와주셔서 정말 감사합니다. 이제 아버지에 대한 [정보]를 알려드리겠습니다.
Quest.Atlas.PowerOfNature.TheresaStep2:   {0}님, Lough Derg 동쪽 입구로 나가 남쪽의 작은 호수로 가 주세요. 그곳에서 제 아버지를 찾을 수 있기를 바랍니다.
Quest.Atlas.PowerOfNature.TheresaStep3:   안녕하세요 {0}님, 제 아버지를 찾으셨나요? 그분이 뭐라고 [말]하셨나요?
Quest.Atlas.PowerOfNature.TheresaStep4:   정말 감사합니다. 이렇게 친절한 분은 처음입니다. 생각보다 훨씬 큰 도움을 주셨어요. 은화로 보답하고 싶습니다. 그리고 [자연의 힘]에 대해 말씀하셨는데, 그게 무슨 뜻인가요?
Quest.Atlas.PowerOfNature.TheresaIntro:   안녕하세요 {0}님. 오랫동안 우리 땅에는 전쟁이 있었고, 그 시절이 다시 올까 두렵습니다. 제 아버지는 전쟁 전부터 Tir na Nog에 오지 않으셨습니다. 아버지가 몹시 그립고 무사하시길 바랍니다. 아버지를 찾는 일을 [도와] 주시겠습니까?
Quest.Atlas.PowerOfNature.Subscribe:      Theresa가 아버지를 찾는 일을 도와주시겠습니까? [추모] 자연의 힘
Quest.Atlas.PowerOfNature.Information:    전사 Karl, 수호자 Karl, 명예로운 Karl. 제 아버지는 훌륭한 분입니다. 제가 어릴 때 아버지는 여행에서 늘 무언가를 가져다주셨습니다. 저는 아직도 그것들을 간직하고 있고 절대 잃어버리지 않을 겁니다. 제가 자라면서 여행은 더 길어졌고 그리움도 커졌습니다. 어머니는 더 힘들어하셨습니다. 병이 들었고 아버지가 필요했습니다. 이제 어머니는 세상을 떠났고, 아버지는 몇 년째 Tir na Nog에 오지 않았습니다. 우리 모두 그분이 [필요했습니다].
Quest.Atlas.PowerOfNature.NeededHim:      어릴 때 우리는 Lough Derg의 작은 호수까지 걸어가 나무와 벌레를 몇 시간씩 바라보곤 했습니다. 저는 그 시간이 좋았습니다. 여행 중 아버지가 준 [장난감]을 늘 가지고 다녔습니다. 그 호수로 가 주세요. 아버지가 그곳에 있다면, 그것이 제 가장 큰 희망입니다.
Quest.Atlas.PowerOfNature.Toy:            그녀가 잠시 말을 멈춥니다. 이 장난감을 호수로 가는 길에 가져가 주세요. 아버지를 만나면 사랑의 표시로 전해 주세요. 저는 그분을 절대 잊지 않을 겁니다!
Quest.Atlas.PowerOfNature.InventoryFull:  인벤토리가 너무 가득 찼습니다. 이 [장난감]을 들 수 있을 때 다시 오세요.
Quest.Atlas.PowerOfNature.Say:            당신을 보내길 정말 잘했습니다. 아버지가 아직 살아 계시고 건강하다는 사실이 제게 평온과 힘을 줍니다.
Quest.Atlas.PowerOfNature.PowerMeaning:   이제 알겠습니다. Lough Derg의 작은 호수는 [자연의 힘의 근원]입니다. 어릴 때 왜 그곳에서 그렇게 많은 시간을 보냈는지 이제 이해됩니다.
Quest.Atlas.PowerOfNature.NaturalPowers:  아버지는 이 인형에 마법을 불어넣었고, 그 안에서 아버지의 존재가 느껴집니다. 곧 돌아오실 거라 믿습니다. 이제 저는 평온할 수 있습니다. 제게, 그리고 Tir na Nog 모두에게 아버지를 돌려주셔서 정말 감사합니다.
Quest.Atlas.PowerOfNature.FeelPower:      자연의 힘이 느껴집니다!
Quest.Atlas.PowerOfNature.KarlGreeting:   안녕하세요 모험가님, 좋은 하루 보내시길 바랍니다.
Quest.Atlas.PowerOfNature.KarlStep2:      안녕하세요 {0}님, 이곳까지 오다니 정말 용감하시군요. 이 호수에는 몬스터와 해충이 들끓지만, 저는 [이곳]을 찾아오는 모든 방문자가 반갑습니다.
Quest.Atlas.PowerOfNature.KarlStep3:      {0}님, 준비되었다면 의식을 [시작]할 수 있습니다.
Quest.Atlas.PowerOfNature.KarlStep4:      좋습니다. 이제 이 마법 인형을 Tir na Nog의 제 딸에게 가져가 자연의 힘에 대해 전해 주세요. 저도 곧 돌아가 딸 곁에 머물겠습니다.\n찾아와 주셔서 감사합니다, {0}님. 진심으로 고맙습니다!
Quest.Atlas.PowerOfNature.ThisPlace:      이곳은 제게 아주 특별합니다. 단순한 은신처가 아닙니다. 여기서는 Hibernia 전체에 피어나는 자연을 느낄 수 있습니다. 이곳에 오는 모두에게 그 힘과 생명을 보여주고 싶었습니다. [제 딸]에게도 보여주고 싶었지만, 너무 어려 여행할 수 없었고 어머니가 걱정했습니다.
Quest.Atlas.PowerOfNature.MyDaughter:     가방에서 보이는 그 [인형]... 기억납니다. 오래전 Hadrian's Wall을 다녀오며 가져와 제 딸에게 준 것입니다. 왜 당신이 가지고 있습니까?
Quest.Atlas.PowerOfNature.Doll:           당신은 그에게 인형을 건네고 Theresa의 이야기를 전합니다. 그의 눈에 눈물이 맺힙니다. 그 모든 세월 동안 정말 미안합니다. 아내가 세상을 떠났다는 말을 듣고 무너졌습니다. Theresa에게 제가 그 어느 때보다 필요했는데 저는 곁에 없었습니다. 제게 인형을 주세요. 자연의 모든 힘이 지닌 [힘과 기운]을 보여주고, 제가 아직 살아 있다는 증거를 딸에게 전하겠습니다.
Quest.Atlas.PowerOfNature.StrengthAura:   감사합니다 {0}님. 준비되었다면 의식을 [시작]할 수 있습니다.
Quest.Atlas.PowerOfNature.Decline:        걱정하지 마세요. 제 이야기를 들어준 것만으로도 큰 도움이 되었습니다. 마음이 바뀌면 다시 와서 [도와] 주세요.
Quest.Atlas.PowerOfNature.Accept:         정말 감사합니다. 뭐라고 말해야 할지 모르겠습니다. 이제 아버지에 대한 [정보]를 알려드리겠습니다.
Quest.Atlas.PowerOfNature.Description1:   Theresa와 계속 대화해 Karl에 대한 정보를 더 들으세요.
Quest.Atlas.PowerOfNature.Description2:   Lough Derg의 작은 호수로 가서 Karl을 찾으세요.
Quest.Atlas.PowerOfNature.Description3:   Karl과 대화하고 의식을 도와주세요.
Quest.Atlas.PowerOfNature.Description4:   Karl의 선물을 가지고 Theresa에게 돌아가세요.
Quest.Atlas.PowerOfNature.Title:          자연의 가호
Quest.Atlas.PowerOfNature.MoneyReward:    보상으로 {0}을(를) 받았습니다.
Quests.DataQuest.SourceTextUndefined:     SourceTexts[0]이 정의되지 않았습니다!
Appeal.Prefix:                            [어필]:
Spell.Artifact.BeltOfSun.CantSummonLight: {0}은(는) 빛을 소환할 수 없습니다!
RealmAbility.AtlasOF.Trip.Message1:       넘어져 이동 속도가 크게 느려졌습니다.
RealmAbility.AtlasOF.Trip.Message2:       {0}이(가) 넘어져 이동 속도가 크게 느려졌습니다!
RealmAbility.AtlasOF.Trip.Description:    반경 {0} 유닛 안의 모든 적 이동 속도를 35% 감소시킵니다.
RealmAbility.AtlasOF.Grapple.Message1:    붙잡혀 움직일 수 없습니다.
RealmAbility.AtlasOF.Grapple.Message2:    {0}이(가) 붙잡혀 움직일 수 없습니다!
RealmAbility.AtlasOF.Grapple.Description: 반경 {0} 유닛 안의 모든 적 이동 속도를 100% 감소시킵니다.
Card.Error:                               카드 오류입니다.
RealmAbility.AtlasOF.BattleYell.Description: 반경 {0} 유닛 안의 모든 적을 도발합니다.
RealmAbility.AtlasOF.Viper.Description:   지속 피해 독의 피해량이 두 배가 됩니다.
RealmAbility.AtlasOF.BatteryOfLife.Description: 1500 유닛 안의 그룹원에게 치유로 분배되는 1000 HP 보호막을 생성합니다. 치유 우선순위는 스프레드 힐과 같습니다.
RealmAbility.AtlasOF.Vanish.Description:  행동 상태나 전투 타이머와 관계없이 즉시 은신합니다.
RealmAbility.AtlasOF.TrueSight.Description: 60초 동안 모든 은신 캐릭터를 감지합니다.
RealmAbility.AtlasOF.MajesticWill.Description: 60초 동안 대상이 당신의 주문에 저항할 확률이 이 능력 레벨당 5% 감소합니다.
RealmAbility.AtlasOF.ShadowRun.Description: 은신 중 이동 속도가 평소의 두 배가 됩니다.
RealmAbility.RR5.SearingPet.Description:  대상을 공격합니다.
RealmAbility.RR5.MinionRescue.Description: 주문 지속 시간 동안 대상이 기절하여 움직이거나 행동할 수 없습니다.
Spell.MasterLevel.Battlemaster.DisarmDescription: 시전자를 무장 해제합니다.

# Named Mobs
NamedMobs.Common.ImmuneToDamage:                 {0}은(는) 어떤 피해에도 면역입니다!
NamedMobs.Common.PreparesMassiveAttack:                 {0}이(가) {1}을(를) 노려보며 강력한 공격을 준비합니다.
NamedMobs.Common.LooksMindfullyAround:                 {0}이(가) 주의 깊게 주변을 둘러봅니다.
NamedMobs.Common.Breath1:                 {0}이(가) 깊게 숨을 들이쉬자 거센 공기의 흐름이 스쳐 지나갑니다!
NamedMobs.Common.DamageAbsorbedToHeal:                 당신의 피해가 흡수되어 {0}을(를) 치유합니다
NamedMobs.Common.FallingDamage:                 낙하 피해를 입었습니다!
NamedMobs.Common.CantAttackFromDistance:                 이 거리에서는 {0}을(를) 공격할 수 없습니다!
NamedMobs.Kvasir.HealedByCold:                 얼음군주 크바시르가 말합니다. '아아아, {0}, 나를 치유해 주어 고맙다!'
NamedMobs.Kvasir.DeathThreat:                 내 동족이 복수할 것이다! 여기서 살아 나가지 못할 것이다, {0}!
NamedMobs.Kvasir.HorribleDeath:                 여기까지 와서... 끔찍한 죽음을 맞이하다니! 하! 지금이라도 더 안전한 일을 하고 있었으면 좋겠다고 생각하지 않나? 곧 죽게 될 테니 네 모든 노력이 헛수고가 될 것임을 알고 있겠지, {0}?
NamedMobs.Kvasir.PrimalScream:                 {0}이(가) 원초적인 비명을 내지르자 그 소리가 주변 얼음 속에서 몇 초 동안 울려 퍼집니다. 가까이에 있던 많은 이들이 그 소리에 기절합니다!
NamedMobs.Kvasir.TunnelRumble:                 투스카리안 빙하 전체에 낮은 진동이 울려 퍼집니다! 소리에 공명한 고드름들이 천장에서 떨어져 바닥에 산산조각 납니다!진동은 점점 커지고 벽에는 작은 균열이 생깁니다! 빙하 어딘가에서 거인 무리가 움직이는 듯한 소리입니다!
NamedMobs.ElderIcelord.BerserkerStance:                 {0}이(가) 광전사 태세에 들어갑니다!
NamedMobs.ElderIcelord.BerserkerFades:                 {0}의 광전사 태세가 사라집니다!
NamedMobs.ElderIcelord.FrozenFortress:                 {0}이(가) 말합니다. '우리 얼어붙은 요새를 침범한 대가는 죽음이다! 너와 네 동료들에게 죽음을! 너희의 존재는 의회의 평화주의자들을 조롱하는 것이다. 죽은 의회 구성원을 위해 눈물 흘리지 않겠다!'
NamedMobs.ElderIcelord.OtherworldlyHowl:                 이세계의 울부짖음 같은 소리가 문득 들리기 시작합니다. 소리는 빠르게 커지지만 말소리는 섞여 있지 않습니다. 잠시 후 울부짖음은 사라지고, 천천히 움직이는 빙하의 익숙한 소리만 남습니다.
NamedMobs.ElderIcelord.DarkEnergies:                 {0}의 몸 주위에 어둠의 기운이 소용돌이치며 경련합니다!
NamedMobs.ElderIcelord.NoMercy:                 {0}이(가) 고함칩니다. '여기까지 오다니 놀랍군! 하지만 너희 여정은 여기서 모두의 죽음으로 끝난다. 자비는 없다!'
NamedMobs.ElderIcelord.CouncilWarning:                 {0}이(가) 말합니다. 우리를 위협하는 자들이 우리를 멸하기 전에 우리가 그들을 멸하지 않으면 결국 우리는 사라질 것이라고 의회에 경고했다. 이 운명은 나보다 너희에게 더 어울린다. 무덤 너머에서도 그녀의 죽음을 애도하지 않겠다!
NamedMobs.GlacierGiant.KickAway:                 빙하 거인이 {0}을(를) 걷어찹니다!
NamedMobs.Golestandt.DeathAnnounce1:                 {0}이(가) 비틀거리며 땅에 쓰러지자 발밑의 대지가 흔들립니다.
NamedMobs.Golestandt.DeathAnnounce2:                 {0}의 둥지였던 둔덕 위에 빛나는 광채가 맺히기 시작합니다.
NamedMobs.Golestandt.KillShout:                 {0}이(가) 또 한 명의 {1}이(가) 자신의 힘 앞에 쓰러지자 승리의 포효를 내지릅니다.
NamedMobs.Golestandt.RestlessRoar:                 목소리가 대지를 가르듯 울려 퍼집니다. 멀리서 포효가 들립니다. '네 뼈를 갈고 살점을 찢어 주마!'
NamedMobs.Golestandt.WingFlap:                 {0}이(가) 격렬하게 날개를 퍼덕이기 시작합니다. 당신은 땅에 발을 붙이고 버티려 애씁니다!
NamedMobs.Golestandt.GlareTaunt1:                 {0}이(가) 외칩니다. '어리석은 {1}! 네 살점은 훌륭한 식사가 되겠구나.'
NamedMobs.Golestandt.GlareTaunt2:                 {0}이(가) 외칩니다. '너 같은 {1}들이 계속 솎아진다면 너희 암흑기도 끝날지 모르지!'
NamedMobs.Golestandt.GlareTaunt3:                 {0}이(가) 외칩니다. '용의 일에 끼어들지 마라, {1}! 그래, 넌 정말 바삭하겠군.'
NamedMobs.Golestandt.Breath2:                 {0}이(가) 지옥 같은 불길을 뿜어내려 또 한 번 강력한 숨을 들이쉽니다!
NamedMobs.Golestandt.Breath3:                 {0}이(가) 분노로 포효하며 자신을 공격하는 모든 생명체를 노려봅니다.
NamedMobs.Golestandt.Breath4:                 {0}이(가) 상처 때문에 눈에 띄게 움찔하면서도 또 다른 치명적인 공격을 준비합니다!
NamedMobs.Gjalpinulva.DeathAnnounce1:                 영혼을 꿰뚫는 울부짖음이 온 땅에 울려 퍼진 뒤 모든 것이 고요해집니다.
NamedMobs.Gjalpinulva.KillShout:                 {0}이(가) 외칩니다. '네 영혼은 이제 내 것이다, {1}!'
NamedMobs.Gjalpinulva.RestlessRoar:                 협곡 사이로 우렁찬 목소리가 울려 퍼집니다. '참을 수 없구나. 누가 감히 내 영역에 들어왔느냐? 그들의 살을 얼리고 뼈를 가루로 빻아 주마!'
NamedMobs.Gjalpinulva.WingFlap:                 {0}이(가) 격렬하게 날개를 퍼덕이기 시작합니다. 당신은 땅에 발을 붙이고 버티려 애씁니다!
NamedMobs.Gjalpinulva.GlareTaunt1:                 오딘은 라그나로크에서 네 도움 없이 싸워야겠군!
NamedMobs.Gjalpinulva.GlareTaunt2:                 오늘은 발키리가 너를 데려가지 않을 것이다!
NamedMobs.Gjalpinulva.GlareTaunt3:                 네 시체가 나스트란드에서 썩어 가길!
NamedMobs.Gjalpinulva.GlareTaunt4:                 내 숙모가 니플헤임에 너를 위한 멋진 자리를 마련해 두었지!
NamedMobs.Gjalpinulva.Breath2:                 {0}이(가) 맹렬한 얼음 폭풍을 뿜어내려 또 한 번 강력한 숨을 들이쉽니다!
NamedMobs.Gjalpinulva.Breath3:                 {0}이(가) 분노로 포효하며 자신을 공격하는 모든 생명체를 노려봅니다.
NamedMobs.Gjalpinulva.Breath4:                 {0}이(가) 상처 때문에 눈에 띄게 움찔하면서도 또 다른 치명적인 공격을 준비합니다!
NamedMobs.Easmarach.TooFarFromWaterfall:                 {0}은(는) 폭포에서 너무 멀리 떨어져 있어 당신의 피해에 면역입니다!
NamedMobs.Easmarach.CurrentReduces:                 이즈마라크가 죽자 폭포의 물살이 크게 약해집니다.
NamedMobs.Easmarach.Retreating:                 {0}이(가) 폭포로 후퇴합니다!
NamedMobs.Easmarach.WaterfallPushes:                 폭포의 강한 물살이 당신을 뒤로 밀어냅니다
NamedMobs.Aros.RememberMyName:                 '내 이름을 기억하게 될 것이다! {0}!'
NamedMobs.Aros.TripsAndFalls:                 {0}이(가) 딱딱한 돌바닥에 걸려 넘어집니다.
NamedMobs.Aros.BombText1:                 영혼술사 아로스가 의식을 시작합니다!
NamedMobs.Aros.BombText2:                 영혼술사 아로스가 강대한 힘으로 위협적인 공격을 시작합니다!
NamedMobs.Aros.BombText3:                 강력한 힘에 고무된 영혼술사 아로스가 치명적인 주문을 준비합니다.
NamedMobs.Aros.BombText4:                 영혼술사 아로스가 정신을 파괴하는 마법을 시작합니다!
NamedMobs.Aros.WeakensEveryone:                 {0}이(가) {1}와(과) 주변 모두를 약화시킵니다!
NamedMobs.Xanxicar.DeathAnnounce1:                 {0}이(가) 비틀거리며 땅에 쓰러지자 발밑의 대지가 흔들립니다.
NamedMobs.Xanxicar.DeathAnnounce2:                 {0}의 둥지였던 둔덕 위에 빛나는 광채가 맺히기 시작합니다.
NamedMobs.Xanxicar.HurledIntoAir:                 {0}이(가) 공중으로 내던져집니다!
NamedMobs.Xanxicar.PreparingGlare:                 잔시카르가 {0}을(를) 향해 눈부신 공격을 준비합니다!
NamedMobs.Xanxicar.PreparesStomp:                 잔시카르가 분노로 포효하며 자신을 공격하는 모든 생명체를 향해 거대한 발구르기를 준비합니다.
NamedMobs.Legion.SoulStrength:                 레기온이 말합니다. "네 영혼이 나에게 새로운 힘을 준다."
NamedMobs.Legion.EnemiesInLair:                 레기온은 자신의 둥지에 적이 있는 것을 싫어합니다
NamedMobs.Legion.NotAttackableFromRange:                 이 거리에서는 {0}을(를) 공격할 수 없으며, 당신의 피해에 면역입니다!
NamedMobs.Legion.ConsumesBladeturn:                 레기온이 당신의 블레이드턴 효과를 삼켜 버립니다!
NamedMobs.Legion.SoulConsumptionBlast:                 레기온이 거대한 영혼 흡수 폭발을 방출합니다.
NamedMobs.Beliathan.TunnelsRumble:                 터널이 우르릉거리며 흔들립니다..
NamedMobs.SisterBlythe.UnknownLanguage:                 시스터 블라이스가 알아들을 수 없는 언어로 외칩니다!
NamedMobs.SisterBlythe.ComeMyPets:                 {0}이(가) 말합니다. "오너라, 내 애완동물들아! 이 어리석은 자들에게 실패의 대가를 보여 주자!"
NamedMobs.SisterBlythe.ExecutionerCommand:                 쓰러진 처형자가 말합니다. "명령대로 하겠습니다!"
NamedMobs.SisterBlythe.WitnessPower:                 시스터 블라이스가 말합니다. "아라운 경의 힘을 보아라!"
NamedMobs.Morgana.AlbionForces:                 하, 알비온의 병력이 고작 이 정도인가? 내 형제 아서가 이끄는 대군을 기대했건만, 고작 불쌍한 {0}이(가) 이끄는 작은 모험가 무리를 보내다니?
NamedMobs.Morgana.TowerClear:                 탑에서 강령술의 속박이 사라졌음을 느낍니다!
NamedMobs.Morgana.CreationsUndone:                 모르가나가 외칩니다. "내 창조물들이 이렇게 쉽게 무너지다니 믿을 수 없구나! 내 말을 새겨들어라, 필멸자여! 이번 전투는 네가 이겼을지 모르나 나는 돌아올 것이다! 그날 이 땅을 걷는 모든 자들이 진정한 공포를 알게 되리라! 카멜롯의 성벽은 무너지고 새로운 질서, 나의 질서가 영원히 군림할 것이다!"
NamedMobs.MelancholicFairyQueen.Trumpets:                 멀리서 나팔 소리가 들려옵니다.
NamedMobs.Blight.BonesFormSkeleton:                 핏빛 뼈들이 사방에서 날아와 눈앞의 공중에서 피와 살점의 소용돌이를 이룹니다. 뼈들이 서로 맞물리며 하나의 거대한 해골을 형성하기 시작합니다.
NamedMobs.Blight.TrueForm:                 블라이트가 진정한 모습을 드러냈습니다! 그것이 무시무시한 시선으로 당신을 노려봅니다!
NamedMobs.Ydenia.SeithkonaPower:                 {0}이(가) 말합니다. "세이드코나의 힘을 느껴라, 어리석은 자여!"
NamedMobs.Ydenia.ThrowsIntoWater:                 세이드코나의 이데니아가 당신을 물속으로 던져 피해를 입힙니다!
NamedMobs.Mokkurvalve.BodyFalls:                 {0}의 몸 일부가 땅에 떨어집니다.
NamedMobs.SpectralProvisioner.ImmuneAttack:                 스펙트럴 프로비저너는 이 형태의 공격에 면역입니다.
NamedMobs.SoulReckoner.BrushesOffAttack:                 {0}이(가) 당신의 공격을 털어냅니다!
NamedMobs.SoulReckoner.FlickersBriefly:                 {0}이(가) 잠시 희미하게 깜빡입니다
NamedMobs.Apocalypse.FamesPresence:                 파메스가 크게 말합니다. '많은 이들의 존재, 힘과 야망의 존재가 느껴진다...'
NamedMobs.Apocalypse.MorbusChallengeFate:                 모르부스가 말합니다. '운명에 도전하려는 자들의 존재로군.'
NamedMobs.Apocalypse.BellumInevitable:                 벨룸이 말합니다. '...피할 수 없는 것에 도전하는군.'
NamedMobs.Apocalypse.MorbusFateCannotChange:                 모르부스가 말합니다. '운명은 바꿀 수 없다.'
NamedMobs.Apocalypse.FunusFateOfMan:                 푸누스가 무덤 같은 쉰 목소리로 말합니다. '인간의 운명은 죽는 것, 촛불처럼 꺼지는 것이다.'
NamedMobs.Apocalypse.BellumPainLoss:                 벨룸이 말합니다. '인간의 운명은 고통과 상실을 아는 것이다.'
NamedMobs.Apocalypse.MorbusMisery:                 모르부스가 말합니다. '...그리고 비참함이지.'
NamedMobs.Apocalypse.FamesChallengeQuestion:                 파메스가 묻습니다. '그대, {0}, 운명에 도전하러 왔는가? 내게 와서 답하라. 네 목소리로 듣고 네 눈에서도 그 답을 보겠다
NamedMobs.Apocalypse.MagicMovesCenter:                 마법 에너지가 당신을 방 중앙으로 이동시킵니다!
NamedMobs.Apocalypse.FamesChallengePrompt:                 파메스가 말합니다. 그래? 운명 그 자체에 도전하겠는가?\n[아니오]라고 말하면 떠날 수 있다...\n[예]라고 말하면 준비하라.
NamedMobs.Apocalypse.FamesBeGone:                 그렇다면 떠나라. 네가 하도록 정해진 일을 계속하라.
NamedMobs.Apocalypse.FamesTwoMinutes:                 파메스가 말합니다. '됐다. 그대는 용감한 {0}이군... 아니면 어리석거나. 그대의 행동이 운명의 흐름을 바꿀 가능성은 거의 없겠지만, 그대와 동료들에게 준비할 몇 알의 시간, 그대들의 말로 2분을 허락한다.
NamedMobs.Apocalypse.BellumOneMinute:                 벨룸이 말합니다. '전쟁을 준비하라. 1분을 허락한다.'
NamedMobs.Apocalypse.MorbusOneMinute:                 모르부스가 말합니다. '때로는 가장 작은 것들이 가장 치명적인 법이다. 1분 안에 준비하라..'
NamedMobs.Apocalypse.FunusClericWarning:                 푸누스가 말합니다. '죽을 준비를 하라. 이 일을 준비할 60초를 주겠다.'\n잠시 동안 이 지역의 성직자들이 신성한 빛에 목욕한 듯 은은하게 빛나고, 눈에는 갑자기 에너지가 흘러드는 듯한 광채가 돕니다. 마음속의 희미한 속삭임이 이 죽음의 존재에게 평범한 공격은 거의 효과가 없거나 상황을 악화시킬 수 있다고 경고하지만, 동시에 성직자들은 신성과 이 세계를 잇는 직접적인 통로이기에 푸누스에게 예상치 못한 이점을 가진다고 안심시킵니다.
NamedMobs.Apocalypse.MorbusReadsNote:                 모르부스가 매우 창백한 얼굴로 쪽지를 천천히 읽습니다.
NamedMobs.Apocalypse.AbsorbsDamage:                 {0}이(가) 당신의 모든 피해를 흡수해 자신을 치유합니다!
NamedMobs.Apocalypse.FunusRestoresHealth:                 푸누스가 {0}에게 피해를 받고 전체 생명력을 회복합니다.
NamedMobs.Apocalypse.HarbingersBested:                 천둥 같은 목소리가 벽에 메아리칩니다. '잘했다. 나의 전조들을 이겨냈구나.'
NamedMobs.Apocalypse.EndAtHand:                 아포칼립스가 외칩니다. '너희의 끝이 다가왔다!'
NamedMobs.Apocalypse.PowerFameFortune:                 아포칼립스가 말합니다. '힘인가? 명성인가? 부인가? 어쩌면 셋 모두일지도 모르지.'
NamedMobs.Apocalypse.Motivation:                 아포칼립스가 말합니다. '그토록 대담한 행동을 하게 만든 동기가 무엇인지도 궁금하군.'
