# Languages
System.LanguagesName.EN:				English
Quest.Atlas.PowerOfNature.Description4:   Return to Theresa with Karl's present.
Quest.Atlas.PowerOfNature.Title:          Protected by Nature
Quest.Atlas.PowerOfNature.MoneyReward:    You receive {0} as a reward.
Quests.DataQuest.SourceTextUndefined:     SourceTexts[0] undefined!
Appeal.Prefix:                            [Appeals]:
Spell.Artifact.BeltOfSun.CantSummonLight: {0} cannot summon light!
RealmAbility.AtlasOF.Trip.Message1:       You are tripped and cannot move as quickly.
RealmAbility.AtlasOF.Trip.Message2:       {0} is tripped and cannot move as quickly!
RealmAbility.AtlasOF.Trip.Description:    Reduce the movement speed of all enemies in a {0} unit radius by 35%.
RealmAbility.AtlasOF.Grapple.Message1:    You are grappled and cannot move.
RealmAbility.AtlasOF.Grapple.Message2:    {0} is grappled and cannot move!
RealmAbility.AtlasOF.Grapple.Description: Reduce the movement speed of all enemies in a {0} unit radius by 100%.
Card.Error:                               Card error.
RealmAbility.AtlasOF.BattleYell.Description: Taunt all enemies in a {0} unit radius.
RealmAbility.AtlasOF.Viper.Description:   Your damage-over-time poisons will deal double damage.
RealmAbility.AtlasOF.BatteryOfLife.Description: Creates a 1000 HP buffer that is distributed to group members within 1500 units as healing. Healing priority matches spread heal.
RealmAbility.AtlasOF.Vanish.Description:  You will immediately hide, regardless of action state or in-combat timer.
RealmAbility.AtlasOF.TrueSight.Description: Detect all hidden characters for 60 seconds.
RealmAbility.AtlasOF.MajesticWill.Description: Your target's chance of resisting your spells is reduced by 5% per level of this ability for 60 seconds.
RealmAbility.AtlasOF.ShadowRun.Description: Move at double your normal stealthed movement rate.
RealmAbility.RR5.SearingPet.Description:  Damage the target.
RealmAbility.RR5.MinionRescue.Description: Target is stunned and cannot move or act during the spell duration.
Spell.MasterLevel.Battlemaster.DisarmDescription: Disarms the caster.

# Named Mobs
NamedMobs.Common.ImmuneToDamage:                 {0} is immune to any damage!
NamedMobs.Common.PreparesMassiveAttack:                 {0} stares at {1} and prepares a massive attack.
NamedMobs.Common.LooksMindfullyAround:                 {0} looks mindfully around.
NamedMobs.Common.Breath1:                 You feel a rush of air flow past you as {0} inhales deeply!
NamedMobs.Common.DamageAbsorbedToHeal:                 Your damage is absorbed and used to heal {0}
NamedMobs.Common.FallingDamage:                 You take falling damage!
NamedMobs.Common.CantAttackFromDistance:                 {0} can't be attacked from this distance!
NamedMobs.Kvasir.HealedByCold:                 Icelord Kvasir says, 'aahhhh thank you {0} for healing me !'
NamedMobs.Kvasir.DeathThreat:                 my kind will avenge me! You won't make out of here alive {0}!
NamedMobs.Kvasir.HorribleDeath:                 To come this far... only to die a horrible death! Huh! Do you not wish that you were taking on a safer endavour at this moment? You realize of course that all of your efforts will come to naught as you are about to die {0}?
NamedMobs.Kvasir.PrimalScream:                 {0} lets loose a primal scream so intense that it resonates in the surrounding ice for several seconds. Many in the immediate vicinite are stunned by the sound!
NamedMobs.Kvasir.TunnelRumble:                 A low rumble echoes throughout the Tuscarian Glacier! Icicles resonating with the sound break off from the ceiling and shatter on the floors!The rumble grows louder causing small cracks to form in the walls! It sounds as though there is a swarm of giants on the move somewhere in the glacier!
NamedMobs.ElderIcelord.BerserkerStance:                 {0} goes into berserker stance!
NamedMobs.ElderIcelord.BerserkerFades:                 {0} berserker stance fades away!
NamedMobs.ElderIcelord.FrozenFortress:                 {0} says, 'The price of your invading our frozen fortress is death! Death to you and your allies! Your presence here mocks the pacifist philosophy of my opponents on the Council. I weep for no council member who has perished!'
NamedMobs.ElderIcelord.OtherworldlyHowl:                 An otherworldly howling sound suddenly becomes perceptible. The sound quickly grows louder but it is not accompanied by a word. Moments after it begins, the howling sound is gone, replace by the familiar noises of the slowly shifting glacier.
NamedMobs.ElderIcelord.DarkEnergies:                 {0} spasms as dark energies swirl around his body!
NamedMobs.ElderIcelord.NoMercy:                 {0} bellows 'I am amazed that you have made it this far! I'm afraid that your journey ends here with all of your death, however, I will show you no mercy!'
NamedMobs.ElderIcelord.CouncilWarning:                 {0} says, I have warned the Council that if we do not destroy those who threaten us before they destroy us, we will perish. You deserve this fate more than I do. I will not mourn her death beyond the grave!
NamedMobs.GlacierGiant.KickAway:                 Glacier Giant kick away {0}!
NamedMobs.Golestandt.DeathAnnounce1:                 The earth lurches beneath your feet as {0} staggers and topples to the ground.
NamedMobs.Golestandt.DeathAnnounce2:                 A glowing light begins to form on the mound that served as {0}'s lair.
NamedMobs.Golestandt.KillShout:                 {0} roars in triumph as another {1} falls before his might.
NamedMobs.Golestandt.RestlessRoar:                 A voice explodes across the land. You hear a roar in the distance, 'I will grind your bones and shred your flesh!'
NamedMobs.Golestandt.WingFlap:                 {0} begins flapping his wings violently. You struggle to hold your footing on the ground!
NamedMobs.Golestandt.GlareTaunt1:                 {0} shouts, 'Foolish {1}! Your flesh will make a splendid meal.'
NamedMobs.Golestandt.GlareTaunt2:                 {0} shouts, 'Perhaps your dark ages would end if {1}s like you continue to be weeded out!'
NamedMobs.Golestandt.GlareTaunt3:                 {0} shouts, 'Meddle not in the affairs of dragons, {1}! Yes, you are indeed crunchy.'
NamedMobs.Golestandt.Breath2:                 {0} takes another powerful breath as he prepares to unleash a raging inferno upon you!
NamedMobs.Golestandt.Breath3:                 {0} bellows in rage and glares at all of the creatures attacking him.
NamedMobs.Golestandt.Breath4:                 {0} noticeably winces from his wounds as he attempts to prepare for yet another life-threatening attack!
NamedMobs.Gjalpinulva.DeathAnnounce1:                 A soul-piercing howl echoes throughout the land, and then all is quiet.
NamedMobs.Gjalpinulva.KillShout:                 {0} shouts, 'Your soul now belongs to me, {1}!'
NamedMobs.Gjalpinulva.RestlessRoar:                 A booming voice echoes through the canyons, 'I grow restless. Who has dared to enter my domain? I shall freeze their flesh and grind their bones to dust!'
NamedMobs.Gjalpinulva.WingFlap:                 {0} begins flapping her wings violently. You struggle to hold your footing on the ground!
NamedMobs.Gjalpinulva.GlareTaunt1:                 Odin will have to do without your aid at Ragnarök!
NamedMobs.Gjalpinulva.GlareTaunt2:                 There shall be no valkyries bearing you this day!
NamedMobs.Gjalpinulva.GlareTaunt3:                 May your corpse rot on Nastrand!
NamedMobs.Gjalpinulva.GlareTaunt4:                 My aunt has a wonderful place reserved for you in Niflheim!
NamedMobs.Gjalpinulva.Breath2:                 {0} takes another powerful breath as she prepares to unleash a raging blazy storm upon you!
NamedMobs.Gjalpinulva.Breath3:                 {0} bellows in rage and glares at all of the creatures attacking her.
NamedMobs.Gjalpinulva.Breath4:                 {0} noticeably winces from her wounds as she attempts to prepare for yet another life-threatening attack!
NamedMobs.Easmarach.TooFarFromWaterfall:                 {0} is too far away from waterfall and is immune to your damage!
NamedMobs.Easmarach.CurrentReduces:                 With the death of the Easmarach, the current of the falls reduces significantly.
NamedMobs.Easmarach.Retreating:                 {0} is retreating to waterfall!
NamedMobs.Easmarach.WaterfallPushes:                 The strong current of the waterfall pushes you behind
NamedMobs.Aros.RememberMyName:                 'You will remember my name! {0}!'
NamedMobs.Aros.TripsAndFalls:                 {0} trips and falls on the hard stone floor.
NamedMobs.Aros.BombText1:                 Aros the Spiritmaster begins to perform a ritual!
NamedMobs.Aros.BombText2:                 Aros the Spiritmaster is powerful and begins a threatening attack!
NamedMobs.Aros.BombText3:                 Feeling strong and powerful, Aros the Spiritmaster prepares a deadly spell.
NamedMobs.Aros.BombText4:                 Aros the Spiritmaster begins a magic of mental destruction!
NamedMobs.Aros.WeakensEveryone:                 {0} weakens {1} and everyone around!
NamedMobs.Xanxicar.DeathAnnounce1:                 The earth lurches beneath your feet as {0} staggers and topples to the ground.
NamedMobs.Xanxicar.DeathAnnounce2:                 A glowing light begins to form on the mound that served as {0}'s lair.
NamedMobs.Xanxicar.HurledIntoAir:                 {0} is hurled into the air!
NamedMobs.Xanxicar.PreparingGlare:                 Xanxicar preparing glare at {0}!
NamedMobs.Xanxicar.PreparesStomp:                 Xanxicar bellows in rage and prepares massive stomp at all of the creatures attacking him.
NamedMobs.Legion.SoulStrength:                 Legion says, "Your soul give me new strength."
NamedMobs.Legion.EnemiesInLair:                 Legion doesn't like enemies in his lair
NamedMobs.Legion.NotAttackableFromRange:                 {0} is not attackable from this range and is immune to your damage!
NamedMobs.Legion.ConsumesBladeturn:                 Legion consume your bladeturn effect!
NamedMobs.Legion.SoulConsumptionBlast:                 Legion unleashing massive soul consumption blast.
NamedMobs.Beliathan.TunnelsRumble:                 The tunnels rumble and shake..
NamedMobs.SisterBlythe.UnknownLanguage:                 Sister Blythe shouts in a language you cannot understand!
NamedMobs.SisterBlythe.ComeMyPets:                 {0} says, "Come my pets! Let us show these fools what comes of failure!"
NamedMobs.SisterBlythe.ExecutionerCommand:                 The fallen executioner says, "By your command!"
NamedMobs.SisterBlythe.WitnessPower:                 Sister Blythe says, "Witness the power of Lord Arawn!"
NamedMobs.Morgana.AlbionForces:                 Ha, is this all the forces of Albion have to offer? I expected a whole army leaded by my brother Arthur, but what do they send a little group of adventurers lead by a poor {0}?
NamedMobs.Morgana.TowerClear:                 You sense the tower is clear of necromantic ties!
NamedMobs.Morgana.CreationsUndone:                 Morgana shouts, "I cannot believe my creations have been undone so easily! Heed my words mortal! You may have won this battle but I shall return! On that day all who walk this realm will know what fear truly is! The walls of Camelot shall fall and a new order, MY order, shall reign eternal!"
NamedMobs.MelancholicFairyQueen.Trumpets:                 You hear the sound of trumpets in the distance.
NamedMobs.Blight.BonesFormSkeleton:                 Bloody bones fly from all directions into a swirling cloud of gore in the air before you. The bones begin to join together forming a single giant skeleton.
NamedMobs.Blight.TrueForm:                 Blight has taken it's true form! It turns its deadful stare upon you!
NamedMobs.Ydenia.SeithkonaPower:                 {0} says, "Feel the power of the Seithkona, fool!"
NamedMobs.Ydenia.ThrowsIntoWater:                 Ydenia of the Seithkona throws you into water and you take damage!
NamedMobs.Mokkurvalve.BodyFalls:                 Part of {0}'s body falls to the ground.
NamedMobs.SpectralProvisioner.ImmuneAttack:                 The Spectral Provisioner is immune to this form of attack.
NamedMobs.SoulReckoner.BrushesOffAttack:                 {0} brushes off your attack!
NamedMobs.SoulReckoner.FlickersBriefly:                 The {0} flickers briefly
NamedMobs.Apocalypse.FamesPresence:                 Fames says loudly, 'I sense presence of many, the presence of power and ambition...'
NamedMobs.Apocalypse.MorbusChallengeFate:                 Morbus says, 'The presence of those who would challenge fate.'
NamedMobs.Apocalypse.BellumInevitable:                 Bellum says, '...challenge the inevitable.'
NamedMobs.Apocalypse.MorbusFateCannotChange:                 Morbus says, 'Fate cannot be changed.'
NamedMobs.Apocalypse.FunusFateOfMan:                 Funus says with a gravely hiss, 'It is the fate of man to die, to expire like the flame of a candle.'
NamedMobs.Apocalypse.BellumPainLoss:                 Bellum says, 'It is the fate of man to know pain and loss.'
NamedMobs.Apocalypse.MorbusMisery:                 Morbus says, '... and misery.'
NamedMobs.Apocalypse.FamesChallengeQuestion:                 Fames asks, 'You, {0}, do you come to challenge fate? Come to me with your answer so that I may see the answer in your eyes as well as hear it your voice
NamedMobs.Apocalypse.MagicMovesCenter:                 Magic energy moves you to the center of room!
NamedMobs.Apocalypse.FamesChallengePrompt:                 Fames says, Well? Do you challenge fate itself?\nSay [no] and walk away...\nSay [yes] and prepare yourselves.
NamedMobs.Apocalypse.FamesBeGone:                 Then be gone and continue on with what you were meant to do.
NamedMobs.Apocalypse.FamesTwoMinutes:                 Fames says, 'Done. You are brave {0} ... or foolish. While it is most certain that your actions will have little chance to alter the course of fate, you and your companions are granted a few grains of time, two minutes in your terms, to prepare.
NamedMobs.Apocalypse.BellumOneMinute:                 Bellum says, 'Prepare yourselves for war. One minute, you are granted.'
NamedMobs.Apocalypse.MorbusOneMinute:                 Morbus says, 'Sometimes it is the smallest things that are the most deadly. Be prepared in one minute..'
NamedMobs.Apocalypse.FunusClericWarning:                 Funus says, 'Prepare to die. Sixty seconds you are given to arrange for the event.'\nFor a brief moment, the clerics in the area glow softly as if bathed in a divine light, and their eyes shine as if a sudden rush of energy now courses through them. A faint whisper in your mind warns you that mundane attacks on this creature of death would have little effect or even make the situation worse, but it also reassures you that the clerics, a direct conduit between the divine and this world, posses an unexpected advantage over the creature, Funus.
NamedMobs.Apocalypse.MorbusReadsNote:                 Morbus looks very pale as he slowly reads over the note.
NamedMobs.Apocalypse.AbsorbsDamage:                 {0} absorbs all your damage to heal iself!
NamedMobs.Apocalypse.FunusRestoresHealth:                 Funus takes damage from {0} and restoring it's whole health.
NamedMobs.Apocalypse.HarbingersBested:                 A thunderous voice echoes off the walls, 'Well done. You have succeeded in besting my harbingers.'
NamedMobs.Apocalypse.EndAtHand:                 Apocalypse shouts, 'Your end is at hand!'
NamedMobs.Apocalypse.PowerFameFortune:                 Apocalypse says, 'Is it power? Fame? Fortune? Perhaps it is all three.'
NamedMobs.Apocalypse.Motivation:                 Apocalypse says, 'I wonder, also, about the motivation that drives one to such an audacious move.'
NamedMobs.Apocalypse.FeatPower:                 Apocalypse says, 'One has to wonder what kind of power lay behind that feat, for my harbingers of fate were no small adversaries.'
NamedMobs.Apocalypse.PriceForActions:                 Apocalypse says, 'In all of this, however, it would seem that you have overlooked the small matter of price for your actions. I am not the vengeful sort, so do not take this the wrong way, but good harbingers are hard to come by. And, thanks to you, they will need to be replaced.'
NamedMobs.ScurceolHyrde.Overpowered:                 {0} is overpowered and can't take any damage.
NamedMobs.GiantLemer.GreatGrowl:                 A great growl goes through the woods.
NamedMobs.Hakr.Touchdown:                 Icelord Hakr says, '{0} Touchdown! That's a really cool way of putting it!'
NamedMobs.Hakr.MagicBarrierFades:                 Magic barrier fades away from Icelord Hakr!
NamedMobs.Agmundr.TerribleDeath:                 To come this far... only to face a terrible death!
NamedMobs.Agmundr.SeerWarning:                 My seer's told me that you were coming {0}! Since you posed no threat I haven't asked for reinforcements!
NamedMobs.FallingIce.ImmuneToDamage:                 {0} is immune to any damage!
NamedMobs.FallingIce.SlamsHead:                 A terrifying cracking sound echoes in the caves! Falling ice slams into {0}'s head!
NamedMobs.Fornfrusenen.DeathFade:                 The frosty glows in {0}'s eyes abruptly blinks out. {0}'s form slowly fades into the ice. The shard swiftly evaporate leaving no trace of their corporeal existence behind!
NamedMobs.Fornfrusenen.ImmuneToDamage:                 {0} is immune to your damage!
NamedMobs.Fornfrusenen.Awakens:                 {0} awakens from its peaceful slumber and emerges from this ice walls and hisses "I know your name {1}, take a good look at your surroundings! Within this ice is where you'll be entombed for all eternity! Hahahahaha"
NamedMobs.Torst.WingEddies:                 {0}'s powerful wings stir swirling eddies of air that threaten to freeze anyone caught in their wake!
NamedMobs.Hurika.GustLaunches:                 A powerful gust of wind generated by Hurika's wings sends {0} flying into the air!
NamedMobs.QueenKula.ImmuneToDamage:                 {0} is immune to any damage!
NamedMobs.QueenKula.DamageHeals:                 Your damage is healing Queen Kula!
NamedMobs.QueenKula.KingRage:                 As Queen Kula dies, King Tuscar screams in rage and gathers more strength!
NamedMobs.QueenKula.GuardianTaunt:                 Queen Kula grins maliciously, 'So you got past all my Hrimthursa Guardians! These Hrimthursa are useless and arrogant! I'm going to show you what I've been wanting to teach you for a long time. The merciless who are not afraid of death will survive in this brutal world! I am merciless I'm not afraid of death!'
NamedMobs.KingTuscar.ImmuneToDamage:                 {0} is immune to any damage!
NamedMobs.KingTuscar.DamageHeals:                 Your damage is healing King Tuscar!
NamedMobs.KingTuscar.WeaponTaunt:                 King Tuscar raises his weapon and yells, 'Kula wields the finest weapon I have ever made! And the weapon I forged for myself is almost as good in combat! Death comes swiftly with these two weapons!'
NamedMobs.KingTuscar.OdinRage:                 King Tuscar rages and gains strength from Odin!
NamedMobs.Nosdoden.DeathAnnounce1:                 The earth lurches beneath your feet as {0} staggers and topples to the ground.
NamedMobs.Nosdoden.DeathAnnounce2:                 A glowing light begins to form on the mound that served as {0}'s lair.
NamedMobs.Nosdoden.LifeEssenceToSpirit:                 Life essence of {0} has turned into spirit.
NamedMobs.Nosdoden.StartsVoidMagic:                 {0} starts casting void magic at {1}.
NamedMobs.Nosdoden.LifeEssenceReturned:                 Life essence returned back to {0}.

# GM/admin command messages
AdminCommands.Reload.Header:                 \n  ===== [[[ Command Reload ]]] ===== \n
AdminCommands.Reload.Description:            Reload given element.
AdminCommands.Reload.Usage.Mob:              /reload mob ' reload all mob in region.
AdminCommands.Reload.Usage.MobRealm:         /reload mob ' realm <0/1/2/3>' reload all mob with specifique realm in region.
AdminCommands.Reload.Usage.MobName:          /reload mob ' name <name_you_want>' reload all mob with specifique name in region.
AdminCommands.Reload.Usage.MobModel:         /reload mob ' model <model_ID>' reload all mob with specifique model in region.
AdminCommands.Reload.Usage.Object:           /reload object ' reload all static object in region.
AdminCommands.Reload.Usage.ObjectRealm:      /reload object ' realm <0/1/2/3>' reload all static object with specifique realm in region.
AdminCommands.Reload.Usage.ObjectName:       /reload object ' name <name_you_want>' reload all static object with specifique name in region.
AdminCommands.Reload.Usage.ObjectModel:      /reload object ' model <model_ID>' reload all static object with specifique model in region.
AdminCommands.Reload.Usage.Realm:            \n /reload <object/mob> realm <0/1/2/3>' reload all element with specifique realm in region.
AdminCommands.Reload.Usage.RealmValues:      can use 0/1/2/3 or n/a/m/h or no/alb/mid/hib....
AdminCommands.Reload.Usage.Name:             \n /reload <object/mob>  name <name_you_want>' reload all element with specified name in region.
AdminCommands.Reload.Usage.Model:            \n /reload <object/mob>  model <model_ID>' reload all element with specified model_ID in region.
AdminCommands.Reload.Usage.Specs:            /reload specs - reload all specializations.
AdminCommands.Reload.Usage.Spells:           /reload spells - reload a spells and spelllines, checking db for changed and new spells.
AdminCommands.Reload.Usage.Teleports:        /reload teleports - reload all teleport locations
AdminCommands.Reload.Usage.NPCTemplates:     /reload npctemplates - reload all NPCTemplates
AdminCommands.Reload.SpellsReloaded:         Spells and spell lines reloaded
AdminCommands.Reload.SpecializationsLoaded:  {0} specializations loaded.
AdminCommands.Reload.TeleportsReloaded:      Teleport locations reloaded.
AdminCommands.Reload.NPCTemplatesReloaded:   NPC templates reloaded.
AdminCommands.Reload.DoorsReloaded:          Doors reloaded.
AdminCommands.Reload.ReloadingMobs:          Reloading Mobs:  {0}, {1} ...
AdminCommands.Reload.MobsReloaded:           {0} mobs reloaded!
AdminCommands.KeepDoorTeleport.MustSpecifyString: You must specify a teleport string to whisper the npc.
AdminCommands.KeepDoorTeleport.ValidStrings: Valid strings are "enter" and "exit"
AdminCommands.KeepDoorTeleport.MustSpecifyType: You must specify the teleport type
AdminCommands.KeepDoorTeleport.ValidTypes:   Valid types are "in" and "out"
AdminCommands.KeepDoorTeleport.NeedKeepArea: You need to be inside a keep area.
AdminCommands.KeepDoorTeleport.AlreadyExists: Teleport ID with same parameter already exists!
AdminCommands.KeepDoorTeleport.Added:        KeepDoor Teleport ID [{0}] successfully added.
GMCommands.Blink.Start:                      Start blinking UI part: {0}
GMCommands.Blink.MustSpecifyValue:           You must specify a value!\nID: Name
GMCommands.ClearInventory.Cleared:           Inventory cleared
GMCommands.Door.AddDialogDisabled:           You will no longer be shown the add door dialog.
GMCommands.Door.AddDialogEnabled:            You will now be shown the add door dialog if door is not found in the DB.
GMCommands.Door.CantAddInInstance:           You can't add doors inside an instance.
GMCommands.Door.MustTargetDoor:              You must target a door
GMCommands.Door.AlreadyInDatabase:           The door is already in the database
GMCommands.Door.AddedDoorId:                 Added door ID:{0}to the database
GMCommands.Door.AddedDoor:                   Added door {0} to the database
GMCommands.Door.Removed:                     Door removed
GMCommands.Door.NotInDatabase:               This door didn't exist in the database
GMCommands.Door.NameChanged:                 You changed the door name to {0}
GMCommands.Door.SoundSet:                    You set the door sound to {0}
GMCommands.Door.GuildChanged:                You changed the door guild to {0}
GMCommands.Door.GuildRemoved:                Door guild removed
GMCommands.Door.LevelChanged:                You changed the door level to {0}
GMCommands.Door.RealmChanged:                You changed the door realm to {0}
GMCommands.Door.HealthChanged:               You change the door health to {0}
GMCommands.Door.IsLocked:                    Door {0} is locked
GMCommands.Door.IsUnlocked:                  Door {0} is unlocked
GMCommands.Door.HealthReachedZero:           Door {0} health reaches 0
GMCommands.Door.NameTooLong:                 The door name must not be longer than 47 bytes
GMCommands.Door.GuildNameTooLong:            The guild name is {0}, but only 47 bytes 'll be displayed
GMCommands.Door.Info.WindowTitle:            Door Information
GMCommands.Door.Info.DoorInfo:               + Door Info :  {0}
GMCommands.Door.Info.Name:                   + Name : {0}
GMCommands.Door.Info.ID:                     + ID : {0}
GMCommands.Door.Info.Realm:                  + Realm : {0} : {1}
GMCommands.Door.Info.Level:                  + Level : {0}
GMCommands.Door.Info.Guild:                  + Guild : {0}
GMCommands.Door.Info.Health:                 + Health : {0} / {1}
GMCommands.Door.Info.Status:                 + Statut : {0}
GMCommands.Door.Info.Type:                   + Type : {0}
GMCommands.Door.Info.X:                      + X : {0}
GMCommands.Door.Info.Y:                      + Y : {0}
GMCommands.Door.Info.Z:                      + Z : {0}
GMCommands.Door.Info.Heading:                + Heading : {0}
GMCommands.Instance.CurrentKey:              Current instance key is {0}
GMCommands.Instance.MustAssignKey:           You must first assign an instance to work with using /instance key <ID>.
GMCommands.Instance.KeySet:                  Instance key set to {0}
GMCommands.Instance.ElementCreated:          Created an element here! Use your memory for now, I sure as hell dont have anything else to show you where it is ^^
GMCommands.Instance.InvokingMarker:          theType suspected to be a ClassType - attempting to invoke a marker of this class.
GMCommands.Instance.ObjectNotAdded:          Error: Object not added to world correctly!
GMCommands.Instance.ObjectAdded:             Object added!
GMCommands.Instance.AddObjectException:      An Exception has occurred when trying to add object, review server error logs! Exception: {0}
GMCommands.Instance.EntryNotFound:           Could not find the entry in the database! <key={0}>
GMCommands.Instance.ObjectRemoved:           Object removed!
GMCommands.Instance.AlreadyInInstance:       You are already in an instance, use /instance exit to get out.
GMCommands.Instance.NeedSkinId:              You need to provide a skin id.  A skin is the ID of the region you want this instance to look like.
GMCommands.Instance.AlreadyCreated:          You already have an instance '{0}' created, please close it before creating another.
GMCommands.Instance.CreationFailed:          Instance creation failed.
GMCommands.Instance.CreatedLoading:          Instance created, now loading elements for instance '{0}' from the DB.
GMCommands.Instance.CantFindDelete:          Can't find an instance to delete.
GMCommands.Instance.Closed:                  Instance closed.
GMCommands.Instance.CloseWhenEmpty:          Instance will close once all players leave.
GMCommands.Instance.CantFindTest:            Can't find an instance to test, you will need to create one first.
GMCommands.Instance.EntranceMoveFailed:      MoveTo to entrance failed, now trying to move to current location inside the instance.
GMCommands.Instance.CurrentMoveFailed:       That failed as well.  Either add an entrance to this instance or move in the world to a corresponding instance location.
GMCommands.Instance.Welcome:                 Welcome to Instance ID {0}, Skin: {1}, with {2} zones and {3} objects inside the region!
GMCommands.Instance.ExitInstructions:        Use '/instance exit' to leave if you get stuck.
GMCommands.Instance.NeedToBeInInstance:      You need to be in an instance to use this command.
GMCommands.Jump.HouseNotOwned:               This house number is not owned by anyone!
GMCommands.Jump.ExpansionNeeded:             You don't have an expansion needed to jump to this location.
GMCommands.Jump.TargetInDungeon:             Player is currently in a dungeon and it's not safe to port above them.
GMCommands.KeepComponents.NotNearKeep:       You are not near a keep.
GMCommands.KeepComponents.Moved:             Component moved.  Use /keepcomponent save to save, or reload to reload the original position.
GMCommands.KeepComponents.Rotated:           Component rotated.  Use /keepcomponent save to save, or reload to reload the original position.
GMCommands.KeepComponents.SkinUpdated:       Component skin updated.  Use /keepcomponent save to save, or reload to reload the original skin.
GMCommands.KeepComponents.Saved:             Saved ComponentID: {0}, KeepID: {1}, Skin: {2}, Health: {3}%
GMCommands.KeepComponents.Reloaded:          Component Reloaded
GMCommands.MinoRelic.RemovedFromWorld:       Relic {0} has been removed from the world
GMCommands.MinoRelic.RemovedFromHash:        Relic {0} has been removed from the Minorelic Hash Table
GMCommands.MinoRelic.RemovedFromDatabase:    Relic {0} has been removed from the database!
GMCommands.Mute.InvalidClientID:             Invalid client ID
GMCommands.Mute.NoPlayerFound:               No player found for '{0}'
GMCommands.Mute.PrivLevelTooLow:             Your privlevel is not high enough to mute this player.
GMCommands.Mute.AllCharsMuteMustBeRemoved:   This player has an allchars mute which must be removed first.
GMCommands.Mute.YouHaveBeenMuted:            You have been muted from public channels by staff member {0}!
GMCommands.Mute.YouMutedPlayer:              You have muted player {0} from public channels!
GMCommands.Mute.AccountMutePlaced:           This mute has been placed on all characters for this account.
GMCommands.Mute.ActionDoneToAccount:         This action was done to the players account.
GMCommands.Mute.YouHaveBeenUnmuted:          You have been unmuted from public channels by staff member {0}!
GMCommands.Mute.YouUnmutedPlayer:            You have unmuted player {0} from public channels!
GMCommands.Offlinejump.CharacterNotFound:    Character {0} not found
GMCommands.Offlinejump.MovedToJail:          Character {0} has been moved to Jail
GMCommands.Offlinejump.MovedToCapital:       Character {0} has been moved to their Realm's Capital City
GMCommands.Item.SaveUnique.Updated:          ItemUnique {0} updated!
GMCommands.Item.UpdateAllowed.SourceTemplateWarning: ** When this item is saved all changes will also be made to the source ItemTemplate: {0}
Scripts.NamedMobs.BrotherDon.ThankYou:      Thank you! Your service to the church will be noted!
Scripts.NamedMobs.BrotherDon.WellDone:      Well done! You've helped the children get through the harsh winter.
Scripts.NamedMobs.BrotherDon.Orphanage:     Why yes, the little ones can get an awful chill during the long cold nights, so the orphanage could use a good [donation] of wolf cloaks. I would take any that you have.
Scripts.NamedMobs.BrotherDon.Donation:      Do you want to donate your cloak?
Scripts.NamedMobs.BrotherDon.Interact:      Hail! You don't perhaps have one of those fine wolf pelt cloaks? If you no longer have need of it, we could greatly use it at the [orphanage].
Scripts.NamedMobs.Gnat.HighPitchWhistle:    Lets loose a high pitch whistle.
Mobs.Vagdush.CallsForHelp:                  The {0} calls for help!
Mobs.Tabor.DeathBreeze:                     As {0} falls to the ground, you feel a breeze in the air.\nA swirl of dirt covers the area.
Mobs.TaborGhost.FightNotOver:               Ghost of Tabor says, "You thought the fight was over did you?"
Mobs.TaborGhost.ReturnWarning:              Ghost of Tabor says, "{0}, this is not over."
Mobs.Spriggit.Attacks:                      Spriggit crackles as he attacks {0}!
Mobs.RockyGolem.TeleportWarning:            The {0} says, "Ahh, I feel the power of the stone... through the living rock I send you!"
Mobs.UnnaturalStorm.SpawnsOverLyonesse:     An intense supernatural storm explodes in the sky over the northeastern expanse of Lyonesse!
Mobs.Daewain.Resting:                       Daewain croaks softly as he rests in the shade under the bridge.
Task.Kill.Assignment:                       {0} says, *Very well {1}, it's good to see adventurers willing to help out the realm in such times. Search to the {2} and kill a {3}, then return to me for your reward. Good luck!*
Task.Kill.Given:                            You have been given a task!
Task.Kill.Direction.South:                  south
Task.Kill.Direction.SouthWest:              southwest
Task.Kill.Direction.West:                   west
Task.Kill.Direction.NorthWest:              northwest
Task.Kill.Direction.North:                  north
Task.Kill.Direction.NorthEast:              northeast
Task.Kill.Direction.East:                   east
Task.Kill.Direction.SouthEast:              southeast
Keep.Lord.ClaimDialog:                      Do you wish to claim\n{0}?
HouseMgr.Loaded:                            Loaded {0} houses and {1} lot markers in {2} regions!
Mobs.HighPriestAndania.DeathFinalWords:     The {0} says, "The {1} vanishes and his final words linger in the air, 'You may have defeated us here, but we shall meet again someday!'"
Mobs.HighPriestAndania.MithraCleanses:      The {0} shouts, "The power of Mithra cleanses this holy place. Out! Out! I command you!"
Mobs.AmminusPilus.RequireAssistance:        The Amminus pilus says, "I require assistance!"
NamedMobs.Cuuldurach.DeathAnnounce:         The hills seem to weep for the loss of their king.
NamedMobs.Cuuldurach.ImmuneToDamage:        {0} is immune to any damage!
NamedMobs.Cuuldurach.NewsSlain:             {0} has been slain by a force of {1} warriors!
NamedMobs.Cuuldurach.KillShout:             {0} laughs at the {1} who has fallen beneath his crushing blow.
